Model;Accuracy;Feature_size;
Raw;5;0.6386292834890965;
Pruned;5;0.6720071206052515;
Raw;10;0.6332888295505118;
Pruned;10;0.6720071206052515;
Raw;15;0.6528704939919893;
Pruned;15;0.6720071206052515;
Raw;20;0.6533155318202047;
Pruned;20;0.6720071206052515;
Raw;25;0.669336893635959;
Pruned;25;0.6720071206052515;
Raw;30;0.6466399643969737;
Pruned;30;0.6742323097463284;
