Model;Accuracy;Feature_size;
Raw;5;0.7983870967741935;
Pruned;5;0.7983870967741935;
Raw;10;0.782258064516129;
Pruned;10;0.5;
Raw;15;0.8225806451612904;
Pruned;15;0.7580645161290323;
Raw;20;0.9274193548387096;
Pruned;20;0.5;
Raw;25;0.9274193548387096;
Pruned;25;0.7741935483870968;
Raw;30;0.9435483870967742;
Pruned;30;0.8064516129032258;
