Model;Accuracy;Feature_size;
Raw;5;0.8145161290322581;
Pruned;5;0.8145161290322581;
Raw;10;0.8467741935483871;
Pruned;10;0.8306451612903226;
Raw;15;0.7983870967741935;
Pruned;15;0.7258064516129032;
Raw;20;0.8951612903225806;
Pruned;20;0.8951612903225806;
Raw;25;0.8548387096774194;
Pruned;25;0.8387096774193549;
Raw;30;0.782258064516129;
Pruned;30;0.7903225806451613;
