Model;Accuracy;Feature_size;
Raw;5;0.6582109479305741;
Pruned;5;0.6720071206052515;
Raw;10;0.6395193591455274;
Pruned;10;0.6809078771695594;
Raw;15;0.6577659101023587;
Pruned;15;0.6795727636849133;
Raw;20;0.6493101913662661;
Pruned;20;0.6720071206052515;
Raw;25;0.6653315531820204;
Pruned;25;0.6720071206052515;
Raw;30;0.6533155318202047;
Pruned;30;0.6720071206052515;
