Dataset,FeatureSelection,Number,Accuracy,Area,Power,bitwidth
AffectiveROAD,jmi,10,24,0.00273,0.00812,4
AffectiveROAD,jmi,15,26,0.00185,0.005528,4
AffectiveROAD,jmi,20,22,0.00184,0.005524,4
AffectiveROAD,jmi,25,37,0.00288,0.008528,4
AffectiveROAD,jmi,30,29,0.00259,0.007616,4
AffectiveROAD,jmi,5,27,0.00254,0.00735,4
AffectiveROAD,jmi,10,39,0.0066,0.01969,6
AffectiveROAD,jmi,15,39,0.00416,0.0121,6
AffectiveROAD,jmi,20,36,0.00429,0.01285,6
AffectiveROAD,jmi,25,39,0.00484,0.01431,6
AffectiveROAD,jmi,30,35,0.00479,0.01446,6
AffectiveROAD,jmi,5,34,0.00827,0.02471,6
AffectiveROAD,jmi,10,42,0.00985,0.02922,8
AffectiveROAD,jmi,15,39,0.00601,0.01732,8
AffectiveROAD,jmi,20,42,0.00583,0.01706,8
AffectiveROAD,jmi,25,44,0.0078,0.0227,8
AffectiveROAD,jmi,30,46,0.00604,0.01792,8
AffectiveROAD,jmi,5,46,0.01275,0.03725,8
AffectiveROAD,jmi,10,47,0.01279,0.0376,10
AffectiveROAD,jmi,15,41,0.00716,0.02094,10
AffectiveROAD,jmi,20,42,0.00726,0.02148,10
AffectiveROAD,jmi,25,45,0.00938,0.02707,10
AffectiveROAD,jmi,30,46,0.0081,0.02365,10
AffectiveROAD,jmi,5,46,0.01727,0.04982,10
