Model;Accuracy;Feature_size;
Raw;5;0.6266132621272809;
Pruned;5;0.6720071206052515;
Raw;10;0.6381842456608812;
Pruned;10;0.6720071206052515;
Raw;15;0.650200267022697;
Pruned;15;0.6746773475745438;
Raw;20;0.6639964396973743;
Pruned;20;0.6720071206052515;
Raw;25;0.641299510458389;
Pruned;25;0.6720071206052515;
Raw;30;0.6644414775255897;
Pruned;30;0.6720071206052515;
